Generation,Name,Gene0,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15
5,Patrick Minsky ,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
5,Patrick MinskyIII,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
5,Patrick KruskalV,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
5,Patrick Kruskal ,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
5,Frank Kruskal ,-0.801448,0.9101939,0.6421384,-0.2321699,-0.6221281,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,-0.4062808
5,Patrick KruskalII,0.6512982,0.521021,0.6421384,-0.2321699,-0.6221281,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,-0.4062808
5,Marvin Kruskal ,-0.02234703,-0.4342896,0.6421384,-0.2321699,-0.6221281,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,-0.4062808
5,Patrick KruskalIII,-0.02234703,-0.4342896,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
5,John Kruskal ,-0.02234703,-0.4342896,0.6421384,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
5,Patrick KruskalIV,-0.02234703,-0.4342896,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
5,Patrick Searle ,0.6512982,0.521021,-0.6127914,-0.8725321,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.3346448,0.008112073,0.8729645,-0.6293245
5,Frank Braitenberg ,0.6512982,0.521021,-0.6729995,0.211025,-0.8143116,0.8463277,0.6964335,-0.6887725,-0.128925,0.6228584,-0.5341147,0.6834527,0.6619344,-0.88017,-0.6816902,-0.6859149
6,Hugo Minsky ,0.7985109,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.9711388,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
6,Patrick MinskyIII,0.6512982,0.521021,-0.6127914,-0.8725321,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
6,Patrick Minsky ,0.6512982,0.521021,-0.6127914,-0.8725321,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
6,John MinskyII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.9711388,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
6,John Minsky ,-0.801448,0.9101939,0.1710027,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
6,Patrick BraitenbergIII,0.6512982,0.521021,-0.6127914,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,-0.128925,0.6228584,-0.9387265,0.07005084,-0.6780632,0.4032208,-0.2463397,0.003482461
6,Patrick Braitenberg ,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,-0.128925,0.6228584,-0.9387265,0.07005084,-0.6780632,0.4032208,-0.2463397,0.003482461
6,Patrick BraitenbergII,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,-0.128925,0.6228584,-0.9387265,0.07005084,-0.6780632,0.4032208,-0.2463397,0.003482461
6,Patrick MinskyII,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
6,Patrick MinskyIV,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
6,Patrick KruskalII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
6,Patrick KruskalIII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
6,Frank KruskalII,-0.02234703,-0.4342896,0.6421384,-0.8725321,0.0273422,0.527723,0.9759184,-0.1575609,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,0.699265,-0.4062808
6,Marvin KruskalII,-0.02234703,-0.4342896,0.6421384,-0.2321699,-0.6221281,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,-0.4062808
6,Frank Kruskal ,-0.801448,0.9101939,0.6421384,-0.2321699,-0.6221281,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,-0.4062808
6,Marvin Kruskal ,-0.02234703,-0.4342896,0.6421384,-0.2321699,-0.6221281,-0.2202551,0.9759184,-0.1575609,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,-0.4062808
6,Frank HayesII,-0.02234703,-0.4342896,0.6421384,-0.2321699,-0.6221281,-0.2202551,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.3346448,0.008112073,0.8729645,-0.6293245
6,Frank Hayes ,-0.02234703,-0.4342896,0.6421384,-0.2321699,-0.6221281,-0.2202551,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.3346448,0.008112073,0.8729645,-0.6293245
6,Patrick Kruskal ,0.6512982,0.521021,-0.6127914,-0.8725321,0.0273422,0.527723,0.9759184,-0.1575609,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,0.699265,-0.4062808
