Generation,Name,Gene0,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15
3,Patrick SearleVIII,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.4355601,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
4,Patrick Lamarck ,0.9333057,0.252288,-0.7960575,0.9762307,-0.6139064,0.3284602,0.8983701,-0.4574829,-0.4121968,-0.4659746,-0.3948869,-0.909336,-0.7536925,-0.1572502,-0.6418984,-0.4610611
4,John Perlin ,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,0.5162885,0.7980943,-0.4659746,-0.3948869,-0.909336,-0.7536925,-0.1572502,-0.6418984,-0.4610611
4,John PerlinIII,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,0.5162885,0.7980943,-0.4659746,-0.3948869,-0.909336,-0.7536925,-0.1572502,-0.6418984,-0.4610611
4,John PerlinII,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,0.5162885,0.7980943,-0.4659746,-0.3948869,-0.909336,-0.7536925,-0.1572502,-0.6418984,-0.4610611
4,Frank Kruskal ,-0.8644794,-0.4289883,0.9626294,-0.4792238,-0.5483173,0.9513901,0.006219029,0.5162885,0.7980943,-0.4659746,-0.3948869,-0.909336,-0.7536925,-0.1572502,-0.6418984,0.07540381
4,Marvin Kruskal ,-0.8644794,-0.4289883,0.9626294,-0.4792238,-0.5483173,0.9513901,-0.7225876,0.5162885,0.7980943,-0.4659746,-0.3948869,-0.909336,-0.7536925,-0.1572502,-0.6418984,0.07540381
4,Patrick SearleV,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.1341413,-0.2001712,0.8109293,-0.908625,0.5580822,0.6679435,0.8570812,-0.5363922
4,Patrick SearleII,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.1341413,-0.2001712,0.8109293,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
4,Patrick SearleIII,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
4,Patrick SearleIV,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
4,Frank Searle ,-0.4010284,-0.07067925,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.06829894,0.8116992,0.6679435,0.8570812,-0.5363922
4,Patrick SearleVI,-0.4010284,0.5754998,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.06829894,0.8116992,0.6679435,0.8570812,-0.5363922
4,Patrick Rosenblatt ,-0.4010284,-0.07067925,0.03750658,0.5781723,0.6018744,-0.5035375,0.3257221,0.5821545,0.2516336,0.2176762,0.05378175,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
4,John Rosenblatt ,0.9333057,0.252288,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,0.5821545,0.2516336,0.2176762,0.2267976,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
4,John RosenblattII,0.9333057,0.252288,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,0.5821545,0.2516336,0.2176762,0.05378175,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
4,Frank Hayes ,-0.04862732,0.2920191,-0.7405016,-0.7615684,0.9858274,0.8021823,-0.2646654,0.4233307,-0.8819762,0.7635616,0.2918049,0.7643005,0.006631732,-0.613732,0.04512525,0.5172831
4,John de Vries ,-0.4010284,0.8725772,0.03750658,-0.03457385,0.6018744,-0.5035375,0.8983701,0.5162885,0.7980943,-0.2001712,0.9257029,-0.06829894,0.8116992,0.6679435,0.8570812,-0.5363922
4,Patrick Searle ,0.9333057,0.252288,-0.7960575,0.9762307,-0.6139064,0.3284602,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.06829894,0.8116992,0.6679435,0.8570812,-0.5363922
4,Valentino de Vries ,-0.8644794,-0.4289883,0.9626294,-0.4792238,-0.5483173,0.9513901,-0.7225876,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.7934316,0.8570812,0.8444314
4,Valentino Hayes ,-0.8644794,-0.4289883,0.9626294,-0.4792238,-0.5483173,0.9513901,-0.7225876,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.7934316,0.8570812,-0.5363922
5,Frank Kruskal ,-0.8644794,-0.4289883,0.9626294,-0.4792238,-0.5483173,0.9513901,0.006219029,0.5162885,0.7980943,-0.4659746,-0.3948869,-0.909336,-0.7536925,-0.1572502,-0.6418984,0.07540381
5,Patrick Rosenblatt ,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.9822285,-0.4574829,-0.4121968,-0.2001712,0.8109293,-0.908625,0.5580822,0.6679435,0.8570812,-0.5363922
5,Patrick Searle ,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.1341413,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
5,Patrick SearleIV,-0.4010284,0.5754998,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.06829894,0.8116992,0.6679435,0.5110511,-0.465603
5,Patrick SearleIII,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
5,Patrick SearleII,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
5,Patrick RosenblattII,-0.4010284,-0.07067925,0.03750658,0.5781723,0.6018744,-0.5035375,0.3257221,0.5821545,0.2516336,0.2176762,0.05378175,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
5,Frank HayesV,0.9333057,-0.5628937,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,-0.3375032,0.2516336,0.2176762,0.05378175,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
5,Frank HayesIII,0.9333057,-0.5628937,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,-0.3375032,0.2516336,0.2176762,0.2267976,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
